Trial_ID,Trial_Name,SppComposition_Label,PlantingYear,Project_Name,EP,Trial_Type,Latitude,Longitude,Elevation,Slope,Aspect,BGCv12,BGC,SS_NoSpace,SMR,SNR,SiteSoilFactor1,SiteSoilFactor2,SiteSoilFactor3,SitePrep,PlantingDate,PlantingSeason,Comments_Site,SppVar,Seedlots,Seed_Class,StockType,Num_Planted,Planting_Comments,Assessor_Qual,Qual_Date,Qualitative_Vigour,Vigour_Variability,Best_Height_Offsite,Survival_est,Damage_Comments,SiteIndex,SiteIndex_Method,Local_Spp1,Best_Height_Local1,Local_Spp2,Best_Height_Local2,Local_Spp3,Best_Height_Local3
1329711,"",S-Pli58Sx40Bl2-5-0.7-17/E-1065(15),2011,RESULTS,"",Operational,54.40711375,-125.9327148,,,,SBSdk,SBSdk,SBSmc2/01,"",,,,,,2011-05-23,5,"",FDI,44909,B,CTAIN,10440,,,,,,,,,17,,,,,,,
1363310,"",S-Pli49Sx48Fdi3-8-1.3-20/E-1120(17),2011,RESULTS,"",Operational,54.46553639,-126.1068415,,,,SBSdk,SBSdk,SBSdk/01,"",,,,,,2011-06-27,6,"",FDI,44909,B,CTAIN,1080,,,,,,,,,20,,,,,,,
1363310,"",S-Pli49Sx48Fdi3-8-1.3-20/E-1120(17),2011,RESULTS,"",Operational,54.46553639,-126.1068415,,,,SBSdk,SBSdk,SBSdk/01,"",,,,,,2011-06-27,6,"",LW,63065,A,CTAIN,630,,,,,,,,,20,,,,,,,
1355430,"",S-Pli76Sx24-7-1.0-20/E-1200(17),2011,RESULTS,"",Operational,54.4620881,-126.1114094,,,,SBSdk,SBSdk,SBSdk/01,"",,,,,,2011-06-26,6,"",FDI,44909,B,CTAIN,360,,,,,,,,,20,,,,,,,
1355430,"",S-Pli76Sx24-7-1.0-20/E-1200(17),2011,RESULTS,"",Operational,54.4620881,-126.1114094,,,,SBSdk,SBSdk,SBSdk/01,"",,,,,,2011-06-26,6,"",LW,63065,A,CTAIN,630,,,,,,,,,20,,,,,,,
1589635,"",S-Pli65Sx35-11-3.3-18/E-1097(17),2011,RESULTS,"",Operational,53.71884995,-125.7244602,,,,SBSdk,SBSdk,SBSdk/06,"",,,,,,2011-06-15,6,"",LW,60748,A,CTAIN,450,,,,,,,,,18,,,,,,,
1589615,"",S-Pli88Sx12-11-3.4-18/E-1087(17),2011,RESULTS,"",Operational,53.73593763,-125.7755202,,,,SBSdk,SBSdk,SBSdk/06,"",,,,,,2011-06-15,6,"",FDI,47713,B,CTAIN,710,,,,,,,,,18,,,,,,,
1589615,"",S-Pli88Sx12-11-3.4-18/E-1087(17),2011,RESULTS,"",Operational,53.73593763,-125.7755202,,,,SBSdk,SBSdk,SBSdk/06,"",,,,,,2011-06-15,6,"",LW,60748,A,CTAIN,80,,,,,,,,,18,,,,,,,
1367512,"",S-Sx69Pli26Bl5-8-1.5-18/E-1145(18),2011,RESULTS,"",Operational,53.79310754,-126.7495654,,,,SBSmc2,SBSmc2,SBSmc2/01,"",,,,,,2011-06-07,6,"",FDI,48678,B,CTAIN,4620,,,,,,,,,18,,,,,,,
1373630,"",S-Pli79Sx14Fdi4Lw3-7-1.0-19/E-1740(18),2011,RESULTS,"",Operational,53.87350131,-125.3320591,,,,SBSdk,SBSdk,SBSdk/05,"",,,,,,2011-07-01,7,"",FDI,48678,B,CTAIN,23795,,,,,,,,,19,,,,,,,
1373630,"",S-Pli79Sx14Fdi4Lw3-7-1.0-19/E-1740(18),2011,RESULTS,"",Operational,53.87350131,-125.3320591,,,,SBSdk,SBSdk,SBSdk/05,"",,,,,,2011-07-01,7,"",LW,63065,A,CTAIN,3060,,,,,,,,,19,,,,,,,
1281751,"",S-Sx54Pli46-6-0.5-19/E-840(15),2011,RESULTS,"",Operational,54.42584311,-125.9824681,,,,SBSdk,SBSdk,SBSdk/01,"",,,,,,2011-05-22,5,"",FDI,44909,B,CTAIN,10395,,,,,,,,,19,,,,,,,
1281751,"",S-Sx54Pli46-6-0.5-19/E-840(15),2011,RESULTS,"",Operational,54.42584311,-125.9824681,,,,SBSdk,SBSdk,SBSdk/01,"",,,,,,2011-05-22,5,"",LW,63065,A,CTAIN,1260,,,,,,,,,19,,,,,,,
1403130,"",S-Pli54Sx42Fdi4-7-1.4-21/I-1070(19),2011,RESULTS,"",Operational,54.33652573,-126.1246523,,,,SBSdk,SBSdk,SBSdk/01,"",,,,,,2011-06-20,6,"",FDI,48678,B,CTAIN,420,,,,,,,,,21,,,,,,,
1403130,"",S-Pli54Sx42Fdi4-7-1.4-21/I-1070(19),2011,RESULTS,"",Operational,54.33652573,-126.1246523,,,,SBSdk,SBSdk,SBSdk/01,"",,,,,,2011-06-20,6,"",LW,63065,A,CTAIN,9200,,,,,,,,,21,,,,,,,
1589555,"",S-Pli74Sx26-11-3.2-18/E-1091(17),2011,RESULTS,"",Operational,53.74931263,-125.8155238,,,,SBSdk,SBSdk,SBSdk/06,"",,,,,,2011-06-15,6,"",FDI,47713,B,CTAIN,4880,,,,,,,,,18,,,,,,,
1589555,"",S-Pli74Sx26-11-3.2-18/E-1091(17),2011,RESULTS,"",Operational,53.74931263,-125.8155238,,,,SBSdk,SBSdk,SBSdk/06,"",,,,,,2011-06-15,6,"",LW,60748,A,CTAIN,3420,,,,,,,,,18,,,,,,,
1589655,"",S-Pli52Sx44Fdi4-10-1.9-18/E-1161(17),2011,RESULTS,"",Operational,53.74722884,-125.8076111,,,,SBSdk,SBSdk,SBSdk/01,"",,,,,,2011-06-15,6,"",FDI,47713,B,CTAIN,1990,,,,,,,,,18,,,,,,,
1589655,"",S-Pli52Sx44Fdi4-10-1.9-18/E-1161(17),2011,RESULTS,"",Operational,53.74722884,-125.8076111,,,,SBSdk,SBSdk,SBSdk/01,"",,,,,,2011-06-15,6,"",LW,60748,A,CTAIN,1010,,,,,,,,,18,,,,,,,
1280390,"",S-Pli67Sx30Fdi3-5-0.9-20/E-1145(16),2011,RESULTS,"",Operational,54.41819718,-125.9188764,,,,SBSmc2,SBSmc2,SBSdk/05,"",,,,,,2011-06-24,6,"",FDI,44909,B,CTAIN,11160,,,,,,,,,20,,,,,,,
1280390,"",S-Pli67Sx30Fdi3-5-0.9-20/E-1145(16),2011,RESULTS,"",Operational,54.41819718,-125.9188764,,,,SBSmc2,SBSmc2,SBSdk/05,"",,,,,,2011-06-24,6,"",LW,63065,A,CTAIN,4275,,,,,,,,,20,,,,,,,
1589596,"",S-Pli60Sx40-10-2.3-18/E-1000(17),2011,RESULTS,"",Operational,53.7423801,-125.7624428,,,,SBSdk,SBSdk,SBSdk/01,"",,,,,,2011-06-15,6,"",FDI,47713,B,CTAIN,950,,,,,,,,,18,,,,,,,
1589596,"",S-Pli60Sx40-10-2.3-18/E-1000(17),2011,RESULTS,"",Operational,53.7423801,-125.7624428,,,,SBSdk,SBSdk,SBSdk/01,"",,,,,,2011-06-15,6,"",LW,60780,A,CTAIN,250,,,,,,,,,18,,,,,,,
102377,"",S-Sx40Pli37Fdi12Cw8Hw3-11-2.6-22/E-1200(13),2002,RESULTS,"",Operational,52.45678729,-118.6584789,,,,ICHmm,ICHmm,ICHmm/03,"",,,,,,2002-05-22,5,"",LW,41119,B,CTAIN,1000,,,,,,,,,22,,,,,,,
1211771,"",S-Pli71Sx29-15-4.1-20/I-1160(18),2011,RESULTS,"",Operational,54.43303301,-126.0963335,,,,SBSdk,SBSdk,SBSdk/03,"",,,,,,2011-06-17,6,"",LW,63065,A,CTAIN,1125,,,,,,,,,20,,,,,,,
1211771,"",S-Pli71Sx29-15-4.1-20/I-1160(18),2011,RESULTS,"",Operational,54.43303301,-126.0963335,,,,SBSdk,SBSdk,SBSdk/03,"",,,,,,2011-06-17,6,"",FDI,44909,B,CTAIN,1080,,,,,,,,,20,,,,,,,
1379113,"",S-Sx66Pli34-8-0.7-20/E-1077(17),2011,RESULTS,"",Operational,54.45800196,-126.0832861,,,,SBSdk,SBSdk,SBSdk/01,"",,,,,,2011-06-25,6,"",LW,63065,A,CTAIN,315,,,,,,,,,20,,,,,,,
1379113,"",S-Sx66Pli34-8-0.7-20/E-1077(17),2011,RESULTS,"",Operational,54.45800196,-126.0832861,,,,SBSdk,SBSdk,SBSdk/01,"",,,,,,2011-06-25,6,"",FDI,48678,B,CTAIN,2940,,,,,,,,,20,,,,,,,
1402533,"",S-Pli53Sx46Fdi1-6-0.6-17/E-1126(15),2011,RESULTS,"",Operational,54.43907803,-126.0006978,,,,SBSmc2,SBSmc2,SBSdk/01,"",,,,,,2011-06-23,6,"",LW,63065,A,CTAIN,1890,,,,,,,,,17,,,,,,,
1402533,"",S-Pli53Sx46Fdi1-6-0.6-17/E-1126(15),2011,RESULTS,"",Operational,54.43907803,-126.0006978,,,,SBSmc2,SBSmc2,SBSdk/01,"",,,,,,2011-06-23,6,"",FDI,44909,B,CTAIN,2880,,,,,,,,,17,,,,,,,
1367710,"",S-Sx87Pli13-1-0.1-19/E-1178(11),2011,RESULTS,"",Operational,54.2207137,-126.4694456,,,,SBSmc2,SBSmc2,SBSmc2,"",,,,,,2011-06-19,6,"",FDI,48678,B,CTAIN,105,,,,,,,,,19,,,,,,,
1379115,"",S-Sx52Pli47Fdi1-8-0.6-20/E-1137(17),2011,RESULTS,"",Operational,54.44762254,-126.0659501,,,,SBSdk,SBSdk,SBSdk/01,"",,,,,,2011-05-22,5,"",FDI,44909,B,CTAIN,2160,,,,,,,,,20,,,,,,,
1379115,"",S-Sx52Pli47Fdi1-8-0.6-20/E-1137(17),2011,RESULTS,"",Operational,54.44762254,-126.0659501,,,,SBSdk,SBSdk,SBSdk/01,"",,,,,,2011-05-22,5,"",LW,63065,A,CTAIN,630,,,,,,,,,20,,,,,,,
1402851,"",S-Pli61Sx39-6-0.6-20/E-880(16),2011,RESULTS,"",Operational,54.43320752,-126.0536178,,,,SBSdk,SBSdk,SBSdk/07,"",,,,,,2011-05-30,5,"",FDI,44909,B,CTAIN,360,,,,,,,,,20,,,,,,,
1402851,"",S-Pli61Sx39-6-0.6-20/E-880(16),2011,RESULTS,"",Operational,54.43320752,-126.0536178,,,,SBSdk,SBSdk,SBSdk/07,"",,,,,,2011-05-30,5,"",LW,63065,A,CTAIN,1890,,,,,,,,,20,,,,,,,
1368834,"",S-Pli59Sx41-5-0.7-19/E-1112(18),2011,RESULTS,"",Operational,54.39207082,-126.3404336,,,,SBSdk,SBSdk,SBSmc2/05,"",,,,,,2011-06-21,6,"",FDI,44909,B,CTAIN,6120,,,,,,,,,19,,,,,,,
1368834,"",S-Pli59Sx41-5-0.7-19/E-1112(18),2011,RESULTS,"",Operational,54.39207082,-126.3404336,,,,SBSdk,SBSdk,SBSmc2/05,"",,,,,,2011-06-21,6,"",LW,63065,A,CTAIN,6930,,,,,,,,,19,,,,,,,
1363311,"",S-Pli68Sx32-8-1.3-20/E-1186(17),2011,RESULTS,"",Operational,54.45571566,-126.1106418,,,,SBSdk,SBSdk,SBSdk/01,"",,,,,,2011-05-22,5,"",FDI,44909,B,CTAIN,720,,,,,,,,,20,,,,,,,
1363311,"",S-Pli68Sx32-8-1.3-20/E-1186(17),2011,RESULTS,"",Operational,54.45571566,-126.1106418,,,,SBSdk,SBSdk,SBSdk/01,"",,,,,,2011-05-22,5,"",LW,63065,A,CTAIN,315,,,,,,,,,20,,,,,,,
1402550,"",S-Sx47Pli42Fdi11-6-0.6-18/E-1111(15),2011,RESULTS,"",Operational,54.43078747,-125.9948095,,,,SBSdk,SBSdk,SBSdk/01,"",,,,,,2011-05-22,5,"",FDI,44909,B,CTAIN,17640,,,,,,,,,18,,,,,,,
1402550,"",S-Sx47Pli42Fdi11-6-0.6-18/E-1111(15),2011,RESULTS,"",Operational,54.43078747,-125.9948095,,,,SBSdk,SBSdk,SBSdk/01,"",,,,,,2011-05-22,5,"",LW,63065,A,CTAIN,630,,,,,,,,,18,,,,,,,
1589535,"",S-Pli77Sx23-12-3.6-18/E-1136(17),2011,RESULTS,"",Operational,53.72944227,-125.8708748,,,,SBSdk,SBSdk,SBSdk/06,"",,,,,,2011-06-15,6,"",FDI,47713,B,CTAIN,500,,,,,,,,,18,,,,,,,
1589535,"",S-Pli77Sx23-12-3.6-18/E-1136(17),2011,RESULTS,"",Operational,53.72944227,-125.8708748,,,,SBSdk,SBSdk,SBSdk/06,"",,,,,,2011-06-15,6,"",LW,60780,A,CTAIN,270,,,,,,,,,18,,,,,,,
1364011,"",S-Pli74Sx26-7-1.3-16/E-1160(17),2011,RESULTS,"",Operational,54.39940986,-125.9559355,,,,SBSdk,SBSdk,SBSdk/03,"",,,,,,2011-05-22,5,"",FDI,44909,B,CTAIN,5400,,,,,,,,,16,,,,,,,
1406935,"",S-Pli79Sx21-7-1.0-16/E-1153(17),2011,RESULTS,"",Operational,54.46571894,-126.1327389,,,,SBSdk,SBSdk,SBSdk/03,"",,,,,,2011-06-30,6,"",FDI,48678,B,CTAIN,10290,,,,,,,,,16,,,,,,,
1406935,"",S-Pli79Sx21-7-1.0-16/E-1153(17),2011,RESULTS,"",Operational,54.46571894,-126.1327389,,,,SBSdk,SBSdk,SBSdk/03,"",,,,,,2011-06-30,6,"",LW,63064,A,CTAIN,2100,,,,,,,,,16,,,,,,,
1406934,"",S-Pli55Sx31Fdi14-7-1.1-20/E-1093(17),2011,RESULTS,"",Operational,54.4685801,-126.1623853,,,,SBSdk,SBSdk,SBSdk/01,"",,,,,,2011-06-30,6,"",FDI,48678,B,CTAIN,9030,,,,,,,,,20,,,,,,,
1406934,"",S-Pli55Sx31Fdi14-7-1.1-20/E-1093(17),2011,RESULTS,"",Operational,54.4685801,-126.1623853,,,,SBSdk,SBSdk,SBSdk/01,"",,,,,,2011-06-30,6,"",LW,63065,A,CTAIN,1890,,,,,,,,,20,,,,,,,
1364012,"",S-Sx51Pli46Fdi3-7-0.8-20/E-1128(17),2011,RESULTS,"",Operational,54.404704,-125.9821292,,,,SBSdk,SBSdk,SBSdk/01,"",,,,,,2011-05-22,5,"",FDI,44909,B,CTAIN,4050,,,,,,,,,20,,,,,,,
1364012,"",S-Sx51Pli46Fdi3-7-0.8-20/E-1128(17),2011,RESULTS,"",Operational,54.404704,-125.9821292,,,,SBSdk,SBSdk,SBSdk/01,"",,,,,,2011-05-22,5,"",LW,63065,A,CTAIN,1260,,,,,,,,,20,,,,,,,
1373190,"",S-Pli51Sx41Fdi8-4-0.5-20/E-1167(16),2011,RESULTS,"",Operational,53.71131015,-125.6878324,,,,SBSdk,SBSdk,SBSdk/01,"",,,,,,2011-07-01,7,"",FDI,48678,B,CTAIN,55160,,,,,,,,,20,,,,,,,
1373190,"",S-Pli51Sx41Fdi8-4-0.5-20/E-1167(16),2011,RESULTS,"",Operational,53.71131015,-125.6878324,,,,SBSdk,SBSdk,SBSdk/01,"",,,,,,2011-07-01,7,"",LW,63065,A,CTAIN,9820,,,,,,,,,20,,,,,,,
1239253,"",S-Pli98Sx2-2-0.2-20/E-1107(08),2011,RESULTS,"",Operational,53.59069704,-124.9993374,,,,SBSdk,SBSdk,SBSdk/01,"",,,,,,2011-06-11,6,"",FDI,25780,B,CTAIN,1110,,,,,,,,,20,,,,,,,
1402591,"",S-Pli61Sx35Fdi4-6-0.7-20/E-1083(15),2011,RESULTS,"",Operational,54.42722048,-126.019599,,,,SBSdk,SBSdk,SBSdk/01,"",,,,,,2011-05-22,5,"",FDI,44909,B,CTAIN,2260,,,,,,,,,20,,,,,,,
1402591,"",S-Pli61Sx35Fdi4-6-0.7-20/E-1083(15),2011,RESULTS,"",Operational,54.42722048,-126.019599,,,,SBSdk,SBSdk,SBSdk/01,"",,,,,,2011-05-22,5,"",LW,63065,A,CTAIN,315,,,,,,,,,20,,,,,,,
1379112,"",S-Sx56Pli43Fdi1-8-0.7-20/E-1145(17),2011,RESULTS,"",Operational,54.44909889,-126.0751966,,,,SBSdk,SBSdk,SBSdk/01,"",,,,,,2011-06-25,6,"",FDI,44909,B,CTAIN,720,,,,,,,,,20,,,,,,,
1379112,"",S-Sx56Pli43Fdi1-8-0.7-20/E-1145(17),2011,RESULTS,"",Operational,54.44909889,-126.0751966,,,,SBSdk,SBSdk,SBSdk/01,"",,,,,,2011-06-25,6,"",LW,63065,A,CTAIN,315,,,,,,,,,20,,,,,,,
-582660000,"",S-Sx86Pli14-18-3.2-23/I-1175(15),2011,RESULTS,"",Operational,54.44090587,-126.0978295,,,,SBSdk,SBSdk,SBSdk/08,"",,,,,,2011-06-21,6,"",LW,63065,A,CTAIN,3525,,,,,,,,,23,,,,,,,
-582660000,"",S-Sx86Pli14-18-3.2-23/I-1175(15),2011,RESULTS,"",Operational,54.44090587,-126.0978295,,,,SBSdk,SBSdk,SBSdk/08,"",,,,,,2011-06-21,6,"",FDI,44909,B,CTAIN,4680,,,,,,,,,23,,,,,,,
1402850,"",S-Sx60Pli39Fdi1-6-0.5-18/E-1070(16),2011,RESULTS,"",Operational,54.42584422,-126.0460308,,,,SBSdk,SBSdk,SBSdk/01,"",,,,,,2011-06-24,6,"",FDI,44909,B,CTAIN,2160,,,,,,,,,18,,,,,,,
1402850,"",S-Sx60Pli39Fdi1-6-0.5-18/E-1070(16),2011,RESULTS,"",Operational,54.42584422,-126.0460308,,,,SBSdk,SBSdk,SBSdk/01,"",,,,,,2011-06-24,6,"",LW,63065,A,CTAIN,2520,,,,,,,,,18,,,,,,,
1589616,"",S-Pli82Sx18-9-1.7-18/E-1200(17),2011,RESULTS,"",Operational,53.74513529,-125.7744831,,,,SBSdk,SBSdk,SBSdk/01,"",,,,,,2011-06-15,6,"",FDI,47713,B,CTAIN,1410,,,,,,,,,18,,,,,,,
1589616,"",S-Pli82Sx18-9-1.7-18/E-1200(17),2011,RESULTS,"",Operational,53.74513529,-125.7744831,,,,SBSdk,SBSdk,SBSdk/01,"",,,,,,2011-06-15,6,"",LW,60780,A,CTAIN,290,,,,,,,,,18,,,,,,,
1363312,"",S-Pli56Sx43Fdi1-6-1.0-20/E-1043(17),2011,RESULTS,"",Operational,54.45012504,-126.0913017,,,,SBSdk,SBSdk,SBSdk/01,"",,,,,,2011-06-16,6,"",FDI,44909,B,CTAIN,720,,,,,,,,,20,,,,,,,
1363312,"",S-Pli56Sx43Fdi1-6-1.0-20/E-1043(17),2011,RESULTS,"",Operational,54.45012504,-126.0913017,,,,SBSdk,SBSdk,SBSdk/01,"",,,,,,2011-06-16,6,"",LW,63065,A,CTAIN,630,,,,,,,,,20,,,,,,,
1364013,"",S-Sx56Pli44-7-0.6-16/E-1200(17),2011,RESULTS,"",Operational,54.44927766,-126.1008572,,,,SBSdk,SBSdk,SBSdk/03,"",,,,,,2011-06-22,6,"",FDI,44909,B,CTAIN,360,,,,,,,,,16,,,,,,,
1364013,"",S-Sx56Pli44-7-0.6-16/E-1200(17),2011,RESULTS,"",Operational,54.44927766,-126.1008572,,,,SBSdk,SBSdk,SBSdk/03,"",,,,,,2011-06-22,6,"",LW,63065,A,CTAIN,315,,,,,,,,,16,,,,,,,
58782,"",S-Sx57Pli42Fdi1-11-1.4-20/E-987(15),2011,RESULTS,"",Operational,54.3174247,-125.7735938,,,,SBSmc2,SBSmc2,SBSdk/01,"",,,,,,2011-08-29,8,"",LW,63065,A,CTAIN,2475,,,,,,,,,20,,,,,,,
58782,"",S-Sx57Pli42Fdi1-11-1.4-20/E-987(15),2011,RESULTS,"",Operational,54.3174247,-125.7735938,,,,SBSmc2,SBSmc2,SBSdk/01,"",,,,,,2011-08-29,8,"",FDI,44909,B,CTAIN,5760,,,,,,,,,20,,,,,,,
1406011,"",S-Sx89Pli11-6-1.2-18/E-1119(16),2011,RESULTS,"",Operational,53.88033957,-125.3229099,,,,SBSmc2,SBSmc2,SBSmc2/01,"",,,,,,2011-07-01,7,"",FDI,48678,B,CTAIN,56285,,,,,,,,,18,,,,,,,
1406011,"",S-Sx89Pli11-6-1.2-18/E-1119(16),2011,RESULTS,"",Operational,53.88033957,-125.3229099,,,,SBSmc2,SBSmc2,SBSmc2/01,"",,,,,,2011-07-01,7,"",LW,63065,A,CTAIN,8750,,,,,,,,,18,,,,,,,
1407070,"",S-Pli52Sx43Fdi5-6-1.0-20/E-1101(16),2011,RESULTS,"",Operational,54.36760297,-126.0731943,,,,SBSdk,SBSdk,SBSdk/01,"",,,,,,2011-06-30,6,"",FDI,44909,B,CTAIN,8730,,,,,,,,,20,,,,,,,
1407070,"",S-Pli52Sx43Fdi5-6-1.0-20/E-1101(16),2011,RESULTS,"",Operational,54.36760297,-126.0731943,,,,SBSdk,SBSdk,SBSdk/01,"",,,,,,2011-06-30,6,"",LW,63065,A,CTAIN,4210,,,,,,,,,20,,,,,,,
1406979,"",S-Sx49Pli48Fdi3-6-1.0-19/E-1081(17),2011,RESULTS,"",Operational,54.35592466,-126.0604435,,,,SBSdk,SBSdk,SBSdk/05,"",,,,,,2011-06-28,6,"",FDI,44909,B,CTAIN,8670,,,,,,,,,19,,,,,,,
1406979,"",S-Sx49Pli48Fdi3-6-1.0-19/E-1081(17),2011,RESULTS,"",Operational,54.35592466,-126.0604435,,,,SBSdk,SBSdk,SBSdk/05,"",,,,,,2011-06-28,6,"",LW,63065,A,CTAIN,6930,,,,,,,,,19,,,,,,,
1236851,"",S-Pli58Sx19Fdi12Lw11-2-0.2-18/E-1183(11),2011,RESULTS,"",Operational,53.94059943,-123.160408,,,,SBSdw3,SBSdw3,SBSdw3/04,"",,,,,,2011-05-25,5,"",LW,60780,A,CTAIN,3530,,,,,,,,,18,,,,,,,
1318532,"",S-Pli42Sx32Fdi19Lw7-2-0.2-20/E-1185(11),2011,RESULTS,"",Operational,54.16832496,-123.2009101,,,,SBSmk1,SBSmk1,SBSmk1/01,"",,,,,,2011-05-26,5,"",LW,60780,A,CTAIN,6000,,,,,,,,,20,,,,,,,
1306330,"",S-Pli97Sx2Bl1-2-0.3-20/E-1057(14),2011,RESULTS,"",Operational,54.19145615,-123.2367295,,,,SBSmk1,SBSmk1,SBSmk1/01,"",,,,,,2011-06-03,6,"",LW,60780,A,CTAIN,1200,,,,,,,,,20,,,,,,,
1319714,"",S-Pli52Sx28Fdi20-1-0.3-21/E-1200(11),2011,RESULTS,"",Operational,54.14109321,-124.6218418,,,,SBSmc2,SBSmc2,SBSdw3/01,"",,,,,,2011-05-30,5,"",FDI,63197,A,CTAIN,22830,,,,,,,,,21,,,,,,,
1384692,"",S-Pli59Sx41-8-1.5-18/E-1200(17),2011,RESULTS,"",Operational,54.28199021,-125.054731,,,,SBSmc2,SBSmc2,SBSmc2/01,"",,,,,,2011-06-05,6,"",FDI,63197,A,CTAIN,720,,,,,,,,,18,,,,,,,
1365831,"",S-Pli57Sx42Bl1-8-2.0-19/E-1171(17),2011,RESULTS,"",Operational,54.32773186,-125.2944254,,,,SBSmc2,SBSmc2,SBSmc2/01,"",,,,,,2011-06-13,6,"",FDI,63197,A,CTAIN,720,,,,,,,,,19,,,,,,,
1365970,"",S-Pli56Sx42Bl2-8-1.3-18/E-1167(17),2011,RESULTS,"",Operational,54.27468914,-125.0920088,,,,SBSmc2,SBSmc2,SBSmc2/01,"",,,,,,2011-06-06,6,"",FDI,63197,A,CTAIN,720,,,,,,,,,18,,,,,,,
1384990,"",S-Sx58Pli36Bl6-8-1.5-20/E-1160(17),2011,RESULTS,"",Operational,54.28875536,-125.0674795,,,,SBSmc2,SBSmc2,SBSmc2/06,"",,,,,,2011-06-05,6,"",FDI,63197,A,CTAIN,720,,,,,,,,,20,,,,,,,
1173554,"",S-Pli50Sx50-9-1.0-19/E-1040(19),2011,RESULTS,"",Operational,54.43016604,-126.1034692,,,,SBSdk,SBSdk,SBSdk/01,"",,,,,,2011-06-25,6,"",LW,63065,A,CTAIN,123,,,,,,,,,19,,,,,,,
1173554,"",S-Pli50Sx50-9-1.0-19/E-1040(19),2011,RESULTS,"",Operational,54.43016604,-126.1034692,,,,SBSdk,SBSdk,SBSdk/01,"",,,,,,2011-06-25,6,"",FDI,44909,B,CTAIN,123,,,,,,,,,19,,,,,,,
1329171,"",S-Sx74Pli17Bl5Fdi4-1-0.1-18/E-1200(11),2011,RESULTS,"",Operational,54.17617054,-126.5136237,,,,SBSdk,SBSdk,SBSmc2/01,"",,,,,,2011-06-19,6,"",FDI,48678,B,CTAIN,3435,,,,,,,,,18,,,,,,,
1415411,"",S-Pli76Sx24-5-0.7-20/E-994(17),2011,RESULTS,"",Operational,54.44355254,-126.1582545,,,,SBSdk,SBSdk,SBSdk/02,"",,,,,,2011-06-30,6,"",FDI,48678,B,CTAIN,5250,,,,,,,,,20,,,,,,,
1415411,"",S-Pli76Sx24-5-0.7-20/E-994(17),2011,RESULTS,"",Operational,54.44355254,-126.1582545,,,,SBSdk,SBSdk,SBSdk/02,"",,,,,,2011-06-30,6,"",LW,63065,A,CTAIN,945,,,,,,,,,20,,,,,,,
1329150,"",S-Sx80Pli15Fdi5-1-0.1-19/E-1200(11),2011,RESULTS,"",Operational,54.18048674,-126.5334254,,,,SBSdk,SBSdk,SBSmc2/01,"",,,,,,2011-06-18,6,"",FDI,48678,B,CTAIN,2415,,,,,,,,,19,,,,,,,
1329212,"",S-Sx45Pli40Fdi15-1-0.1-16/H-1200(11),2011,RESULTS,"",Operational,54.02417147,-126.6487349,,,,SBSdk,SBSdk,SBSdk/01,"",,,,,,2011-05-28,5,"",FDI,48678,B,CTAIN,9135,,,,,,,,,16,,,,,,,
1331491,"",S-Sx66Pli28Bl6-1-0.2-19/E-1148(10),2011,RESULTS,"",Operational,53.72323784,-126.9876225,,,,SBSmc2,SBSmc2,SBSmc2/01,"",,,,,,2011-06-09,6,"",FDI,48678,B,CTAIN,1355,,,,,,,,,19,,,,,,,
1416390,"",S-Pli57Sx43-6-1.0-20/E-958(18),2011,RESULTS,"",Operational,54.45255959,-126.1187723,,,,SBSdk,SBSdk,SBSdk/07,"",,,,,,2011-06-30,6,"",LW,63064,A,CTAIN,210,,,,,,,,,20,,,,,,,
1416390,"",S-Pli57Sx43-6-1.0-20/E-958(18),2011,RESULTS,"",Operational,54.45255959,-126.1187723,,,,SBSdk,SBSdk,SBSdk/07,"",,,,,,2011-06-30,6,"",FDI,44909,B,CTAIN,330,,,,,,,,,20,,,,,,,
1416411,"",S-Pli84Sx13Bl3-6-0.7-16/E-1000(17),2011,RESULTS,"",Operational,54.44119835,-125.9056206,,,,SBSmc2,SBSmc2,SBSmc2/07,"",,,,,,2011-06-30,6,"",FDI,48678,B,CTAIN,2730,,,,,,,,,16,,,,,,,
1416411,"",S-Pli84Sx13Bl3-6-0.7-16/E-1000(17),2011,RESULTS,"",Operational,54.44119835,-125.9056206,,,,SBSmc2,SBSmc2,SBSmc2/07,"",,,,,,2011-06-30,6,"",LW,63064,A,CTAIN,2520,,,,,,,,,16,,,,,,,
1317691,"",S-Pli35Fdi35Sx30-2-0.2-18/E-1095(11),2011,RESULTS,"",Operational,53.99241982,-123.2490102,,,,SBSdw3,SBSdw3,SBSdw3/04,"",,,,,,2011-05-22,5,"",LW,60780,A,CTAIN,45400,,,,,,,,,18,,,,,,,
1317790,"",S-Pli48Fdi31Sx21-2-0.2-18/E-1169(11),2011,RESULTS,"",Operational,54.1251188,-122.9397399,,,,SBSmk1,SBSmk1,SBSmk1/06,"",,,,,,2011-06-13,6,"",LW,60780,A,CTAIN,4700,,,,,,,,,18,,,,,,,
1307950,"",S-Fdi46Pli36Sx18-2-0.2-18/E-1153(11),2011,RESULTS,"",Operational,54.01611463,-123.3382656,,,,SBSdw3,SBSdw3,SBSdw3/01,"",,,,,,2011-06-01,6,"",LW,60780,A,CTAIN,1800,,,,,,,,,18,,,,,,,
